region,year,age,sex,population
Белгородская область,2018,1,male,8884
Белгородская область,2018,2,male,9115
Белгородская область,2018,3,male,9094
Белгородская область,2018,4,male,9347
Белгородская область,2018,5,male,9294
Белгородская область,2018,6,male,9016
Белгородская область,2018,7,male,8502
Белгородская область,2018,8,male,8725
Белгородская область,2018,9,male,8826
Белгородская область,2018,10,male,8418
Белгородская область,2018,11,male,7830
Белгородская область,2018,12,male,7229
Белгородская область,2018,13,male,7444
Белгородская область,2018,14,male,7624
Белгородская область,2018,15,male,7204
Белгородская область,2018,16,male,6574
Белгородская область,2018,17,male,7062
Белгородская область,2018,18,male,6115
Белгородская область,2018,19,male,6089
Белгородская область,2018,20,male,6191
Белгородская область,2018,21,male,6808
Белгородская область,2018,22,male,7688
Белгородская область,2018,23,male,8418
Белгородская область,2018,24,male,8309
Белгородская область,2018,25,male,10060
Белгородская область,2018,26,male,10002
Белгородская область,2018,27,male,11992
Белгородская область,2018,28,male,11944
Белгородская область,2018,29,male,12895
Белгородская область,2018,30,male,13552
Белгородская область,2018,31,male,13691
Белгородская область,2018,32,male,13004
Белгородская область,2018,33,male,13122
Белгородская область,2018,34,male,13017
Белгородская область,2018,35,male,12157
Белгородская область,2018,36,male,11331
Белгородская область,2018,37,male,12064
Белгородская область,2018,38,male,11339
Белгородская область,2018,39,male,11338
Белгородская область,2018,40,male,10375
Белгородская область,2018,41,male,10748
Белгородская область,2018,42,male,10652
Белгородская область,2018,43,male,10381
Белгородская область,2018,44,male,9833
Белгородская область,2018,45,male,10390
Белгородская область,2018,46,male,9653
Белгородская область,2018,47,male,9906
Белгородская область,2018,48,male,8770
Белгородская область,2018,49,male,8871
Белгородская область,2018,50,male,8994
Белгородская область,2018,51,male,9362
Белгородская область,2018,52,male,9380
Белгородская область,2018,53,male,9713
Белгородская область,2018,54,male,10719
Белгородская область,2018,55,male,11328
Белгородская область,2018,56,male,11466
Белгородская область,2018,57,male,12058
Белгородская область,2018,58,male,10966
Белгородская область,2018,59,male,11018
Белгородская область,2018,60,male,10376
Белгородская область,2018,61,male,10138
Белгородская область,2018,62,male,9607
Белгородская область,2018,63,male,9227
Белгородская область,2018,64,male,8085
Белгородская область,2018,65,male,8232
Белгородская область,2018,66,male,7745
Белгородская область,2018,67,male,7677
Белгородская область,2018,68,male,7818
Белгородская область,2018,69,male,6008
Белгородская область,2018,70,male,4675
Белгородская область,2018,71,male,4355
Белгородская область,2018,72,male,2204
Белгородская область,2018,73,male,1779
Белгородская область,2018,74,male,1662
Белгородская область,2018,75,male,2719
Белгородская область,2018,76,male,3623
Белгородская область,2018,77,male,3582
Белгородская область,2018,78,male,3681
Белгородская область,2018,79,male,3438
Белгородская область,2018,80,male,14477
Белгородская область,2021,1,male,6901
Белгородская область,2021,2,male,7352
Белгородская область,2021,3,male,7923
Белгородская область,2021,4,male,8896
Белгородская область,2021,5,male,9208
Белгородская область,2021,6,male,9216
Белгородская область,2021,7,male,9471
Белгородская область,2021,8,male,9430
Белгородская область,2021,9,male,9184
Белгородская область,2021,10,male,8579
Белгородская область,2021,11,male,8837
Белгородская область,2021,12,male,8885
Белгородская область,2021,13,male,8503
Белгородская область,2021,14,male,7912
Белгородская область,2021,15,male,7294
Белгородская область,2021,16,male,7541
Белгородская область,2021,17,male,7661
Белгородская область,2021,18,male,7191
Белгородская область,2021,19,male,6199
Белгородская область,2021,20,male,6890
Белгородская область,2021,21,male,6280
Белгородская область,2021,22,male,6595
Белгородская область,2021,23,male,6701
Белгородская область,2021,24,male,7270
Белгородская область,2021,25,male,8290
Белгородская область,2021,26,male,9105
Белгородская область,2021,27,male,8818
Белгородская область,2021,28,male,10171
Белгородская область,2021,29,male,10089
Белгородская область,2021,30,male,12089
Белгородская область,2021,31,male,12024
Белгородская область,2021,32,male,12981
Белгородская область,2021,33,male,13679
Белгородская область,2021,34,male,13767
Белгородская область,2021,35,male,13047
Белгородская область,2021,36,male,13204
Белгородская область,2021,37,male,13053
Белгородская область,2021,38,male,12211
Белгородская область,2021,39,male,11329
Белгородская область,2021,40,male,11988
Белгородская область,2021,41,male,11269
Белгородская область,2021,42,male,11283
Белгородская область,2021,43,male,10339
Белгородская область,2021,44,male,10614
Белгородская область,2021,45,male,10497
Белгородская область,2021,46,male,10302
Белгородская область,2021,47,male,9683
Белгородская область,2021,48,male,10222
Белгородская область,2021,49,male,9442
Белгородская область,2021,50,male,9742
Белгородская область,2021,51,male,8599
Белгородская область,2021,52,male,8640
Белгородская область,2021,53,male,8726
Белгородская область,2021,54,male,9048
Белгородская область,2021,55,male,9097
Белгородская область,2021,56,male,9325
Белгородская область,2021,57,male,10262
Белгородская область,2021,58,male,10866
Белгородская область,2021,59,male,10937
Белгородская область,2021,60,male,11456
Белгородская область,2021,61,male,10350
Белгородская область,2021,62,male,10294
Белгородская область,2021,63,male,9692
Белгородская область,2021,64,male,9366
Белгородская область,2021,65,male,8795
Белгородская область,2021,66,male,8411
Белгородская область,2021,67,male,7270
Белгородская область,2021,68,male,7395
Белгородская область,2021,69,male,6830
Белгородская область,2021,70,male,6681
Белгородская область,2021,71,male,6707
Белгородская область,2021,72,male,5092
Белгородская область,2021,73,male,3976
Белгородская область,2021,74,male,3635
Белгородская область,2021,75,male,1810
Белгородская область,2021,76,male,1410
Белгородская область,2021,77,male,1317
Белгородская область,2021,78,male,2061
Белгородская область,2021,79,male,2779
Белгородская область,2021,80,male,16486
Брянская область,2018,1,male,6693
Брянская область,2018,2,male,7210
Брянская область,2018,3,male,6909
Брянская область,2018,4,male,6952
Брянская область,2018,5,male,7134
Брянская область,2018,6,male,7042
Брянская область,2018,7,male,6801
Брянская область,2018,8,male,7235
Брянская область,2018,9,male,7334
Брянская область,2018,10,male,6771
Брянская область,2018,11,male,6203
Брянская область,2018,12,male,6108
Брянская область,2018,13,male,6247
Брянская область,2018,14,male,5994
Брянская область,2018,15,male,5954
Брянская область,2018,16,male,5467
Брянская область,2018,17,male,5461
Брянская область,2018,18,male,4944
Брянская область,2018,19,male,4885
Брянская область,2018,20,male,4942
Брянская область,2018,21,male,5484
Брянская область,2018,22,male,5920
Брянская область,2018,23,male,6918
Брянская область,2018,24,male,6605
Брянская область,2018,25,male,7841
Брянская область,2018,26,male,7506
Брянская область,2018,27,male,8992
Брянская область,2018,28,male,9381
Брянская область,2018,29,male,9982
Брянская область,2018,30,male,10285
Брянская область,2018,31,male,10526
Брянская область,2018,32,male,9722
Брянская область,2018,33,male,9847
Брянская область,2018,34,male,10036
Брянская область,2018,35,male,8969
Брянская область,2018,36,male,8611
Брянская область,2018,37,male,9296
Брянская область,2018,38,male,8667
Брянская область,2018,39,male,8255
Брянская область,2018,40,male,8282
Брянская область,2018,41,male,8028
Брянская область,2018,42,male,8278
Брянская область,2018,43,male,8162
Брянская область,2018,44,male,8063
Брянская область,2018,45,male,8184
Брянская область,2018,46,male,7679
Брянская область,2018,47,male,8201
Брянская область,2018,48,male,7317
Брянская область,2018,49,male,7497
Брянская область,2018,50,male,7475
Брянская область,2018,51,male,7759
Брянская область,2018,52,male,7848
Брянская область,2018,53,male,7646
Брянская область,2018,54,male,8450
Брянская область,2018,55,male,8689
Брянская область,2018,56,male,8882
Брянская область,2018,57,male,9369
Брянская область,2018,58,male,8601
Брянская область,2018,59,male,8504
Брянская область,2018,60,male,8102
Брянская область,2018,61,male,7595
Брянская область,2018,62,male,7456
Брянская область,2018,63,male,6669
Брянская область,2018,64,male,5865
Брянская область,2018,65,male,5988
Брянская область,2018,66,male,5628
Брянская область,2018,67,male,5578
Брянская область,2018,68,male,5541
Брянская область,2018,69,male,4014
Брянская область,2018,70,male,3626
Брянская область,2018,71,male,2958
Брянская область,2018,72,male,1615
Брянская область,2018,73,male,1497
Брянская область,2018,74,male,1224
Брянская область,2018,75,male,1806
Брянская область,2018,76,male,2478
Брянская область,2018,77,male,2289
Брянская область,2018,78,male,2345
Брянская область,2018,79,male,2239
Брянская область,2018,80,male,11185
Брянская область,2021,1,male,5048
Брянская область,2021,2,male,5634
Брянская область,2021,3,male,5772
Брянская область,2021,4,male,6568
Брянская область,2021,5,male,7151
Брянская область,2021,6,male,6852
Брянская область,2021,7,male,6907
Брянская область,2021,8,male,7087
Брянская область,2021,9,male,6979
Брянская область,2021,10,male,6819
Брянская область,2021,11,male,7235
Брянская область,2021,12,male,7302
Брянская область,2021,13,male,6739
Брянская область,2021,14,male,6204
Брянская область,2021,15,male,6109
Брянская область,2021,16,male,6241
Брянская область,2021,17,male,5940
Брянская область,2021,18,male,5376
Брянская область,2021,19,male,4713
Брянская область,2021,20,male,4798
Брянская область,2021,21,male,4865
Брянская область,2021,22,male,5000
Брянская область,2021,23,male,5145
Брянская область,2021,24,male,5823
Брянская область,2021,25,male,6313
Брянская область,2021,26,male,7261
Брянская область,2021,27,male,6815
Брянская область,2021,28,male,7779
Брянская область,2021,29,male,7426
Брянская область,2021,30,male,8848
Брянская область,2021,31,male,9206
Брянская область,2021,32,male,9773
Брянская область,2021,33,male,10146
Брянская область,2021,34,male,10350
Брянская область,2021,35,male,9581
Брянская область,2021,36,male,9676
Брянская область,2021,37,male,9857
Брянская область,2021,38,male,8795
Брянская область,2021,39,male,8413
Брянская область,2021,40,male,9072
Брянская область,2021,41,male,8464
Брянская область,2021,42,male,8117
Брянская область,2021,43,male,8098
Брянская область,2021,44,male,7780
Брянская область,2021,45,male,8048
Брянская область,2021,46,male,7915
Брянская область,2021,47,male,7806
Брянская область,2021,48,male,7864
Брянская область,2021,49,male,7430
Брянская область,2021,50,male,7935
Брянская область,2021,51,male,7016
Брянская область,2021,52,male,7210
Брянская область,2021,53,male,7155
Брянская область,2021,54,male,7417
Брянская область,2021,55,male,7455
Брянская область,2021,56,male,7210
Брянская область,2021,57,male,7982
Брянская область,2021,58,male,8168
Брянская область,2021,59,male,8257
Брянская область,2021,60,male,8749
Брянская область,2021,61,male,7932
Брянская область,2021,62,male,7763
Брянская область,2021,63,male,7319
Брянская область,2021,64,male,6831
Брянская область,2021,65,male,6684
Брянская область,2021,66,male,5910
Брянская область,2021,67,male,5200
Брянская область,2021,68,male,5225
Брянская область,2021,69,male,4822
Брянская область,2021,70,male,4820
Брянская область,2021,71,male,4701
Брянская область,2021,72,male,3395
Брянская область,2021,73,male,3001
Брянская область,2021,74,male,2430
Брянская область,2021,75,male,1330
Брянская область,2021,76,male,1175
Брянская область,2021,77,male,957
Брянская область,2021,78,male,1373
Брянская область,2021,79,male,1862
Брянская область,2021,80,male,11846
Владимирская область,2018,1,male,8025
Владимирская область,2018,2,male,8119
Владимирская область,2018,3,male,7900
Владимирская область,2018,4,male,7859
Владимирская область,2018,5,male,8249
Владимирская область,2018,6,male,7761
Владимирская область,2018,7,male,7408
Владимирская область,2018,8,male,7529
Владимирская область,2018,9,male,7525
Владимирская область,2018,10,male,7261
Владимирская область,2018,11,male,6781
Владимирская область,2018,12,male,6590
Владимирская область,2018,13,male,6703
Владимирская область,2018,14,male,6720
Владимирская область,2018,15,male,6339
Владимирская область,2018,16,male,6092
Владимирская область,2018,17,male,5991
Владимирская область,2018,18,male,6186
Владимирская область,2018,19,male,6719
Владимирская область,2018,20,male,6308
Владимирская область,2018,21,male,6326
Владимирская область,2018,22,male,6791
Владимирская область,2018,23,male,7037
Владимирская область,2018,24,male,7287
Владимирская область,2018,25,male,7961
Владимирская область,2018,26,male,8650
Владимирская область,2018,27,male,9800
Владимирская область,2018,28,male,10782
Владимирская область,2018,29,male,10888
Владимирская область,2018,30,male,11803
Владимирская область,2018,31,male,11744
Владимирская область,2018,32,male,11336
Владимирская область,2018,33,male,11303
Владимирская область,2018,34,male,11495
Владимирская область,2018,35,male,10747
Владимирская область,2018,36,male,10075
Владимирская область,2018,37,male,10629
Владимирская область,2018,38,male,10345
Владимирская область,2018,39,male,9934
Владимирская область,2018,40,male,9549
Владимирская область,2018,41,male,9693
Владимирская область,2018,42,male,9801
Владимирская область,2018,43,male,9427
Владимирская область,2018,44,male,8907
Владимирская область,2018,45,male,9115
Владимирская область,2018,46,male,8851
Владимирская область,2018,47,male,8794
Владимирская область,2018,48,male,7890
Владимирская область,2018,49,male,7751
Владимирская область,2018,50,male,7650
Владимирская область,2018,51,male,8080
Владимирская область,2018,52,male,8261
Владимирская область,2018,53,male,8498
Владимирская область,2018,54,male,8774
Владимирская область,2018,55,male,9373
Владимирская область,2018,56,male,9594
Владимирская область,2018,57,male,10063
Владимирская область,2018,58,male,9475
Владимирская область,2018,59,male,9428
Владимирская область,2018,60,male,8906
Владимирская область,2018,61,male,8306
Владимирская область,2018,62,male,8496
Владимирская область,2018,63,male,8259
Владимирская область,2018,64,male,7015
Владимирская область,2018,65,male,6890
Владимирская область,2018,66,male,6444
Владимирская область,2018,67,male,6473
Владимирская область,2018,68,male,6363
Владимирская область,2018,69,male,4974
Владимирская область,2018,70,male,4671
Владимирская область,2018,71,male,3966
Владимирская область,2018,72,male,2379
Владимирская область,2018,73,male,1654
Владимирская область,2018,74,male,1298
Владимирская область,2018,75,male,1876
Владимирская область,2018,76,male,3128
Владимирская область,2018,77,male,2886
Владимирская область,2018,78,male,2920
Владимирская область,2018,79,male,2624
Владимирская область,2018,80,male,12227
Владимирская область,2021,1,male,5625
Владимирская область,2021,2,male,6322
Владимирская область,2021,3,male,6676
Владимирская область,2021,4,male,7917
Владимирская область,2021,5,male,7993
Владимирская область,2021,6,male,7829
Владимирская область,2021,7,male,7836
Владимирская область,2021,8,male,8231
Владимирская область,2021,9,male,7731
Владимирская область,2021,10,male,7391
Владимирская область,2021,11,male,7510
Владимирская область,2021,12,male,7479
Владимирская область,2021,13,male,7227
Владимирская область,2021,14,male,6764
Владимирская область,2021,15,male,6599
Владимирская область,2021,16,male,6731
Владимирская область,2021,17,male,6657
Владимирская область,2021,18,male,6970
Владимирская область,2021,19,male,6988
Владимирская область,2021,20,male,6290
Владимирская область,2021,21,male,5757
Владимирская область,2021,22,male,6088
Владимирская область,2021,23,male,6055
Владимирская область,2021,24,male,6361
Владимирская область,2021,25,male,6578
Владимирская область,2021,26,male,6926
Владимирская область,2021,27,male,7251
Владимирская область,2021,28,male,7926
Владимирская область,2021,29,male,8615
Владимирская область,2021,30,male,9750
Владимирская область,2021,31,male,10635
Владимирская область,2021,32,male,10709
Владимирская область,2021,33,male,11651
Владимирская область,2021,34,male,11580
Владимирская область,2021,35,male,11210
Владимирская область,2021,36,male,11139
Владимирская область,2021,37,male,11334
Владимирская область,2021,38,male,10558
Владимирская область,2021,39,male,9909
Владимирская область,2021,40,male,10396
Владимирская область,2021,41,male,10104
Владимирская область,2021,42,male,9734
Владимирская область,2021,43,male,9301
Владимирская область,2021,44,male,9473
Владимирская область,2021,45,male,9576
Владимирская область,2021,46,male,9150
Владимирская область,2021,47,male,8647
Владимирская область,2021,48,male,8796
Владимирская область,2021,49,male,8597
Владимирская область,2021,50,male,8469
Владимирская область,2021,51,male,7537
Владимирская область,2021,52,male,7436
Владимирская область,2021,53,male,7292
Владимирская область,2021,54,male,7721
Владимирская область,2021,55,male,7829
Владимирская область,2021,56,male,8022
Владимирская область,2021,57,male,8257
Владимирская область,2021,58,male,8780
Владимирская область,2021,59,male,8966
Владимирская область,2021,60,male,9376
Владимирская область,2021,61,male,8711
Владимирская область,2021,62,male,8560
Владимирская область,2021,63,male,8057
Владимирская область,2021,64,male,7474
Владимирская область,2021,65,male,7561
Владимирская область,2021,66,male,7323
Владимирская область,2021,67,male,6106
Владимирская область,2021,68,male,5998
Владимирская область,2021,69,male,5507
Владимирская область,2021,70,male,5508
Владимирская область,2021,71,male,5291
Владимирская область,2021,72,male,4152
Владимирская область,2021,73,male,3835
Владимирская область,2021,74,male,3244
Владимирская область,2021,75,male,1929
Владимирская область,2021,76,male,1247
Владимирская область,2021,77,male,998
Владимирская область,2021,78,male,1416
Владимирская область,2021,79,male,2349
Владимирская область,2021,80,male,13186
Воронежская область,2018,1,male,12821
Воронежская область,2018,2,male,13359
Воронежская область,2018,3,male,13026
Воронежская область,2018,4,male,12867
Воронежская область,2018,5,male,13222
Воронежская область,2018,6,male,12436
Воронежская область,2018,7,male,12091
Воронежская область,2018,8,male,12150
Воронежская область,2018,9,male,11880
Воронежская область,2018,10,male,11070
Воронежская область,2018,11,male,10176
Воронежская область,2018,12,male,10204
Воронежская область,2018,13,male,10503
Воронежская область,2018,14,male,10359
Воронежская область,2018,15,male,10140
Воронежская область,2018,16,male,9878
Воронежская область,2018,17,male,10538
Воронежская область,2018,18,male,10177
Воронежская область,2018,19,male,10945
Воронежская область,2018,20,male,11892
Воронежская область,2018,21,male,12628
Воронежская область,2018,22,male,12518
Воронежская область,2018,23,male,13189
Воронежская область,2018,24,male,13978
Воронежская область,2018,25,male,15599
Воронежская область,2018,26,male,16185
Воронежская область,2018,27,male,18310
Воронежская область,2018,28,male,18788
Воронежская область,2018,29,male,19687
Воронежская область,2018,30,male,20632
Воронежская область,2018,31,male,20361
Воронежская область,2018,32,male,19607
Воронежская область,2018,33,male,19434
Воронежская область,2018,34,male,19389
Воронежская область,2018,35,male,17847
Воронежская область,2018,36,male,17179
Воронежская область,2018,37,male,17728
Воронежская область,2018,38,male,16495
Воронежская область,2018,39,male,15977
Воронежская область,2018,40,male,15600
Воронежская область,2018,41,male,15732
Воронежская область,2018,42,male,15870
Воронежская область,2018,43,male,15459
Воронежская область,2018,44,male,14388
Воронежская область,2018,45,male,15034
Воронежская область,2018,46,male,14269
Воронежская область,2018,47,male,14862
Воронежская область,2018,48,male,13578
Воронежская область,2018,49,male,13658
Воронежская область,2018,50,male,13240
Воронежская область,2018,51,male,13943
Воронежская область,2018,52,male,13979
Воронежская область,2018,53,male,14457
Воронежская область,2018,54,male,15532
Воронежская область,2018,55,male,16466
Воронежская область,2018,56,male,16779
Воронежская область,2018,57,male,17623
Воронежская область,2018,58,male,16879
Воронежская область,2018,59,male,16580
Воронежская область,2018,60,male,15976
Воронежская область,2018,61,male,15078
Воронежская область,2018,62,male,14122
Воронежская область,2018,63,male,13801
Воронежская область,2018,64,male,12180
Воронежская область,2018,65,male,12291
Воронежская область,2018,66,male,11256
Воронежская область,2018,67,male,10770
Воронежская область,2018,68,male,11516
Воронежская область,2018,69,male,8872
Воронежская область,2018,70,male,7740
Воронежская область,2018,71,male,7068
Воронежская область,2018,72,male,3654
Воронежская область,2018,73,male,2561
Воронежская область,2018,74,male,2472
Воронежская область,2018,75,male,3691
Воронежская область,2018,76,male,5775
Воронежская область,2018,77,male,5671
Воронежская область,2018,78,male,5712
Воронежская область,2018,79,male,5560
Воронежская область,2018,80,male,25253
Воронежская область,2021,1,male,10140
Воронежская область,2021,2,male,11004
Воронежская область,2021,3,male,11519
Воронежская область,2021,4,male,12948
Воронежская область,2021,5,male,13507
Воронежская область,2021,6,male,13157
Воронежская область,2021,7,male,12977
Воронежская область,2021,8,male,13349
Воронежская область,2021,9,male,12520
Воронежская область,2021,10,male,12228
Воронежская область,2021,11,male,12240
Воронежская область,2021,12,male,12009
Воронежская область,2021,13,male,11167
Воронежская область,2021,14,male,10258
Воронежская область,2021,15,male,10350
Воронежская область,2021,16,male,10712
Воронежская область,2021,17,male,10666
Воронежская область,2021,18,male,10719
Воронежская область,2021,19,male,10596
Воронежская область,2021,20,male,11381
Воронежская область,2021,21,male,10440
Воронежская область,2021,22,male,10795
Воронежская область,2021,23,male,9959
Воронежская область,2021,24,male,10456
Воронежская область,2021,25,male,11896
Воронежская область,2021,26,male,13238
Воронежская область,2021,27,male,14191
Воронежская область,2021,28,male,15720
Воронежская область,2021,29,male,16310
Воронежская область,2021,30,male,18403
Воронежская область,2021,31,male,18759
Воронежская область,2021,32,male,19745
Воронежская область,2021,33,male,20589
Воронежская область,2021,34,male,20363
Воронежская область,2021,35,male,19532
Воронежская область,2021,36,male,19335
Воронежская область,2021,37,male,19261
Воронежская область,2021,38,male,17622
Воронежская область,2021,39,male,16966
Воронежская область,2021,40,male,17529
Воронежская область,2021,41,male,16334
Воронежская область,2021,42,male,15783
Воронежская область,2021,43,male,15327
Воронежская область,2021,44,male,15470
Воронежская область,2021,45,male,15606
Воронежская область,2021,46,male,15215
Воронежская область,2021,47,male,14094
Воронежская область,2021,48,male,14766
Воронежская область,2021,49,male,13957
Воронежская область,2021,50,male,14497
Воронежская область,2021,51,male,13202
Воронежская область,2021,52,male,13304
Воронежская область,2021,53,male,12807
Воронежская область,2021,54,male,13358
Воронежская область,2021,55,male,13471
Воронежская область,2021,56,male,13843
Воронежская область,2021,57,male,14806
Воронежская область,2021,58,male,15727
Воронежская область,2021,59,male,15962
Воронежская область,2021,60,male,16677
Воронежская область,2021,61,male,15736
Воронежская область,2021,62,male,15396
Воронежская область,2021,63,male,14797
Воронежская область,2021,64,male,13895
Воронежская область,2021,65,male,12944
Воронежская область,2021,66,male,12552
Воронежская область,2021,67,male,10978
Воронежская область,2021,68,male,10961
Воронежская область,2021,69,male,9842
Воронежская область,2021,70,male,9521
Воронежская область,2021,71,male,9881
Воронежская область,2021,72,male,7597
Воронежская область,2021,73,male,6553
Воронежская область,2021,74,male,5959
Воронежская область,2021,75,male,2971
Воронежская область,2021,76,male,2072
Воронежская область,2021,77,male,2014
Воронежская область,2021,78,male,2841
Воронежская область,2021,79,male,4430
Воронежская область,2021,80,male,28114
Ивановская область,2018,1,male,5671
Ивановская область,2018,2,male,5982
Ивановская область,2018,3,male,5765
Ивановская область,2018,4,male,5900
Ивановская область,2018,5,male,5819
Ивановская область,2018,6,male,5535
Ивановская область,2018,7,male,5320
Ивановская область,2018,8,male,5685
Ивановская область,2018,9,male,5510
Ивановская область,2018,10,male,5251
Ивановская область,2018,11,male,4862
Ивановская область,2018,12,male,4743
Ивановская область,2018,13,male,4994
Ивановская область,2018,14,male,4978
Ивановская область,2018,15,male,4698
Ивановская область,2018,16,male,4509
Ивановская область,2018,17,male,4137
Ивановская область,2018,18,male,4016
Ивановская область,2018,19,male,4592
Ивановская область,2018,20,male,4249
Ивановская область,2018,21,male,4444
Ивановская область,2018,22,male,4846
Ивановская область,2018,23,male,5262
Ивановская область,2018,24,male,5995
Ивановская область,2018,25,male,6608
Ивановская область,2018,26,male,7365
Ивановская область,2018,27,male,8258
Ивановская область,2018,28,male,8547
Ивановская область,2018,29,male,8610
Ивановская область,2018,30,male,8968
Ивановская область,2018,31,male,8649
Ивановская область,2018,32,male,8372
Ивановская область,2018,33,male,8141
Ивановская область,2018,34,male,8394
Ивановская область,2018,35,male,7787
Ивановская область,2018,36,male,7333
Ивановская область,2018,37,male,7584
Ивановская область,2018,38,male,7073
Ивановская область,2018,39,male,7287
Ивановская область,2018,40,male,6975
Ивановская область,2018,41,male,7100
Ивановская область,2018,42,male,7317
Ивановская область,2018,43,male,7075
Ивановская область,2018,44,male,6720
Ивановская область,2018,45,male,6939
Ивановская область,2018,46,male,6557
Ивановская область,2018,47,male,6384
Ивановская область,2018,48,male,6125
Ивановская область,2018,49,male,5760
Ивановская область,2018,50,male,5764
Ивановская область,2018,51,male,6064
Ивановская область,2018,52,male,5992
Ивановская область,2018,53,male,6225
Ивановская область,2018,54,male,6550
Ивановская область,2018,55,male,6813
Ивановская область,2018,56,male,6889
Ивановская область,2018,57,male,6938
Ивановская область,2018,58,male,6567
Ивановская область,2018,59,male,6501
Ивановская область,2018,60,male,6301
Ивановская область,2018,61,male,5734
Ивановская область,2018,62,male,6038
Ивановская область,2018,63,male,5928
Ивановская область,2018,64,male,5074
Ивановская область,2018,65,male,5034
Ивановская область,2018,66,male,4756
Ивановская область,2018,67,male,4687
Ивановская область,2018,68,male,4698
Ивановская область,2018,69,male,3510
Ивановская область,2018,70,male,3360
Ивановская область,2018,71,male,2842
Ивановская область,2018,72,male,1558
Ивановская область,2018,73,male,1095
Ивановская область,2018,74,male,741
Ивановская область,2018,75,male,1240
Ивановская область,2018,76,male,2245
Ивановская область,2018,77,male,2080
Ивановская область,2018,78,male,1995
Ивановская область,2018,79,male,1918
Ивановская область,2018,80,male,8794
Ивановская область,2021,1,male,4081
Ивановская область,2021,2,male,4690
Ивановская область,2021,3,male,5065
Ивановская область,2021,4,male,5571
Ивановская область,2021,5,male,5931
Ивановская область,2021,6,male,5723
Ивановская область,2021,7,male,5837
Ивановская область,2021,8,male,5759
Ивановская область,2021,9,male,5469
Ивановская область,2021,10,male,5302
Ивановская область,2021,11,male,5674
Ивановская область,2021,12,male,5458
Ивановская область,2021,13,male,5222
Ивановская область,2021,14,male,4838
Ивановская область,2021,15,male,4692
Ивановская область,2021,16,male,4882
Ивановская область,2021,17,male,4890
Ивановская область,2021,18,male,4683
Ивановская область,2021,19,male,4773
Ивановская область,2021,20,male,4407
Ивановская область,2021,21,male,4190
Ивановская область,2021,22,male,4530
Ивановская область,2021,23,male,4302
Ивановская область,2021,24,male,4404
Ивановская область,2021,25,male,4916
Ивановская область,2021,26,male,5148
Ивановская область,2021,27,male,5981
Ивановская область,2021,28,male,6590
Ивановская область,2021,29,male,7329
Ивановская область,2021,30,male,8177
Ивановская область,2021,31,male,8460
Ивановская область,2021,32,male,8477
Ивановская область,2021,33,male,8837
Ивановская область,2021,34,male,8485
Ивановская область,2021,35,male,8271
Ивановская область,2021,36,male,7984
Ивановская область,2021,37,male,8221
Ивановская область,2021,38,male,7623
Ивановская область,2021,39,male,7161
Ивановская область,2021,40,male,7419
Ивановская область,2021,41,male,6955
Ивановская область,2021,42,male,7112
Ивановская область,2021,43,male,6778
Ивановская область,2021,44,male,6908
Ивановская область,2021,45,male,7105
Ивановская область,2021,46,male,6865
Ивановская область,2021,47,male,6507
Ивановская область,2021,48,male,6707
Ивановская область,2021,49,male,6331
Ивановская область,2021,50,male,6180
Ивановская область,2021,51,male,5906
Ивановская область,2021,52,male,5518
Ивановская область,2021,53,male,5541
Ивановская область,2021,54,male,5776
Ивановская область,2021,55,male,5650
Ивановская область,2021,56,male,5864
Ивановская область,2021,57,male,6156
Ивановская область,2021,58,male,6397
Ивановская область,2021,59,male,6408
Ивановская область,2021,60,male,6409
Ивановская область,2021,61,male,6049
Ивановская область,2021,62,male,5941
Ивановская область,2021,63,male,5662
Ивановская область,2021,64,male,5109
Ивановская область,2021,65,male,5370
Ивановская область,2021,66,male,5262
Ивановская область,2021,67,male,4426
Ивановская область,2021,68,male,4347
Ивановская область,2021,69,male,4038
Ивановская область,2021,70,male,3959
Ивановская область,2021,71,male,3928
Ивановская область,2021,72,male,2925
Ивановская область,2021,73,male,2786
Ивановская область,2021,74,male,2283
Ивановская область,2021,75,male,1229
Ивановская область,2021,76,male,845
Ивановская область,2021,77,male,596
Ивановская область,2021,78,male,946
Ивановская область,2021,79,male,1663
Ивановская область,2021,80,male,9618
Калужская область,2018,1,male,6207
Калужская область,2018,2,male,6539
Калужская область,2018,3,male,6103
Калужская область,2018,4,male,6015
Калужская область,2018,5,male,6087
Калужская область,2018,6,male,5683
Калужская область,2018,7,male,5352
Калужская область,2018,8,male,5263
Калужская область,2018,9,male,5392
Калужская область,2018,10,male,5089
Калужская область,2018,11,male,4746
Калужская область,2018,12,male,4557
Калужская область,2018,13,male,4750
Калужская область,2018,14,male,4644
